customer_id,customer_name,email,country,state,city,address,credit_score,income,debt_to_income_ratio,risk_tolerance,employment_status,credit_utilization_ratio,default_probability
56,Ms. Rebecca Rodriguez,andersonmichael@example.org,United States,New York,West Micheleberg,24026 Julie Mountains Suite 589,614,179267,0.26,Medium,Employed,0.49,0.2434
57,Susan Hopkins,stephen00@example.com,United States,Illinois,South Williamton,1771 Marc Drive Apt. 249,437,63366,0.37,Medium,Student,0.23,0.3876
58,Jonathan Jordan,farrelldebra@example.net,United Kingdom,,Oscarhaven,7365 Ross Stream,617,280555,0.53,High,Employed,0.51,0.2789
59,Christian Leblanc,davischristopher@example.com,United States,Florida,West Ronaldview,528 Brenda Points,723,108049,0.52,High,Employed,0.65,0.2567
60,Maurice Christensen,schmittcaroline@example.com,United States,California,Elizabethchester,832 Walker Coves,774,35744,0.24,Low,Employed,0.08,0.1213
61,Donald Perez,xbruce@example.net,United States,Florida,Meganstad,402 Park Inlet,696,62371,0.56,Low,Employed,0.08,0.1566
62,Kylie Morales,joycebonilla@example.org,United States,California,Michaelburgh,6752 Collins Islands,789,30255,0.05,Medium,Employed,0.16,0.0314
63,Denise Stanley,alawson@example.com,United States,Georgia,North Ericton,156 Justin Springs,704,35075,0.35,Medium,Employed,0.12,0.3144
64,James Greene,harrissierra@example.org,United States,Florida,Roseport,5107 Thompson Light Apt. 885,720,1000000,0.21,Medium,Self-employed,0.3,0.2465
65,Joe Miller,barbara96@example.net,United States,Ohio,South Michelleton,1605 Laurie River Suite 516,768,135252,0.45,Medium,Employed,0.06,0.1493
66,Jennifer Collins,jeffrey21@example.net,United States,Ohio,East Ryanfurt,835 Luna Viaduct,703,119238,0.24,Low,Self-employed,0.62,0.1145
67,Christopher Hernandez,thompsonkendra@example.com,United States,Pennsylvania,East Curtis,979 Lin Road Suite 271,721,36368,0.53,High,Employed,0.44,0.4263
68,Leslie Bell,collinsshannon@example.org,United States,California,Ramosport,1199 Ford Plaza Apt. 793,764,210169,0.23,High,Employed,0.15,0.01
69,Antonio Garcia,toni18@example.net,United States,Illinois,Cassidyhaven,37788 Michael Haven,765,144283,0.29,Medium,Employed,0.23,0.01
70,Amy Mccoy,cameron18@example.net,United States,Florida,Ortizmouth,4925 Brandi Divide Suite 462,432,269762,0.43,Medium,Self-employed,0.88,0.5929
71,Meagan Calderon,lucasrodney@example.com,United States,Ohio,West Angelicamouth,4235 Lee Dam,430,259494,0.3,Medium,Employed,0.7,0.489
72,Katie Fernandez,stanleynancy@example.net,United States,New York,North Kenneth,622 Marie Trail,687,18337,0.36,Low,Employed,0.27,0.1014
73,Michael Young,wbishop@example.net,United Kingdom,,Lake Samuel,83473 Gregory Ports Suite 746,510,24640,0.5,Low,Employed,0.68,0.2952
74,Brenda Wright,jsawyer@example.org,United States,North Carolina,Burchborough,1247 Mariah Course,618,26821,0.59,Low,Self-employed,0.33,0.2991
75,Alexander Brown,joe15@example.org,United States,California,Port Shannon,1522 Justin Village,779,28137,0.16,High,Employed,0.22,0.0139
76,Julie Gilbert,smithjason@example.org,United States,Florida,Hortonberg,43410 Robert Underpass Suite 117,696,77556,0.1,Medium,Employed,0.26,0.1622
77,Doris Smith,john62@example.net,United States,California,Lake Zacharybury,518 Peter Mountains,778,38046,0.05,Low,Employed,0.31,0.0764
78,Alan Kramer,john19@example.net,United States,Florida,Lake Paulstad,05852 Pollard Neck Apt. 217,825,314292,0.34,Medium,Self-employed,0.15,0.1081
79,Emily Collins,ihays@example.com,United States,Florida,West Jamesborough,34505 Martinez Land Suite 676,357,274784,0.73,Low,Employed,0.32,0.7233
80,Holly Salinas,laurie61@example.com,United States,Florida,Terrifort,451 Mark Hill,821,59565,0.05,Low,Retired,0.28,0.0455
81,Jeremy West,christina64@example.net,United States,Florida,Seanchester,65820 Melinda Springs,620,286147,0.53,Medium,Self-employed,0.2,0.2876
82,Matthew Cox,jacobserika@example.com,United States,Texas,Johnsonland,1928 Sanders Run Suite 310,770,196911,0.26,Medium,Retired,0.14,0.1224
83,Autumn Hampton,nlewis@example.com,United States,Michigan,South April,12172 Osborn Valleys Suite 518,517,41749,0.49,Medium,Employed,0.42,0.4773
84,Tammy Little,william13@example.org,United States,Ohio,Patriciaburgh,0589 Mcdonald Plaza,624,15000,0.68,Medium,Employed,0.37,0.2617
85,James Love,xfox@example.com,United States,Texas,New Nicole,51778 Anderson Village,669,50293,0.72,Medium,Retired,0.76,0.1509
86,Thomas Brown,holmeskevin@example.org,United States,Florida,Port Tammy,358 Singleton Glen Apt. 842,787,35749,0.09,Medium,Employed,0.22,0.1194
87,Caroline David,georgeweber@example.net,United States,California,Christinaland,001 Stacy Trail Suite 396,782,70629,0.2,Medium,Employed,0.12,0.2122
88,Tyler Webb,eevans@example.net,United States,New York,South Pamelaside,76773 Lawson Island,373,64304,0.88,Medium,Employed,0.12,0.5642
89,Bianca Wood,floressteven@example.com,United States,California,Jessicastad,21046 Wright Way Apt. 595,771,62970,0.3,Medium,Student,0.07,0.159
90,Julie Koch DDS,landrywilliam@example.org,United States,Florida,Port Erik,500 Simpson Ville,630,91030,0.35,Medium,Employed,0.71,0.2349
91,Jessica Khan,kathryn50@example.com,United States,California,Mitchelltown,835 Jones Parkways,709,22696,0.15,Medium,Employed,0.33,0.184
92,Lisa Carr,theresalong@example.com,United States,New York,Duranview,39868 Brandon Dam Suite 787,623,83207,0.42,Low,Self-employed,0.55,0.2643
93,Timothy Flores,vewing@example.com,United States,Texas,New Patricia,887 Wells Brook Suite 516,700,42121,0.16,Low,Employed,0.32,0.0493
94,Deborah Rios,jennifersilva@example.org,United States,Texas,Lauratown,30913 Scott Manor Apt. 636,767,70261,0.16,Medium,Student,0.06,0.01
95,Kelly Hoffman,ufox@example.org,United States,Michigan,Salaston,585 Bishop Fields Apt. 484,700,128788,0.35,Medium,Employed,0.22,0.3231
96,Melissa Burns,ybailey@example.net,United States,Illinois,West Kellie,1986 Cardenas Trail Apt. 404,705,22482,0.53,Medium,Self-employed,0.4,0.225
97,Cindy Clayton,sarah42@example.org,United States,New York,West Sandraview,08330 Robert Stravenue,763,47808,0.16,High,Employed,0.36,0.01
98,Joshua Hickman,edelgado@example.com,United States,Texas,Garciaberg,5401 Amanda Stream,755,54457,0.05,Medium,Retired,0.19,0.01
99,Amanda Huff,vlopez@example.com,United States,Texas,East Robertburgh,49915 Gibson Row,427,39679,0.62,High,Retired,0.51,0.3591
100,Julie Lee,riverajessica@example.net,United States,Texas,Smallberg,205 Bradley Throughway Apt. 296,704,122990,0.28,Medium,Retired,0.25,0.2337
101,Brandon Holden,pmorris@example.org,United States,Florida,Robertsonland,3745 Aguilar Ports Apt. 453,722,33647,0.29,Low,Retired,0.19,0.142
102,Michael Leblanc,hannah45@example.net,United States,North Carolina,Lake Davidport,27279 Perry Plaza,725,38394,0.42,High,Employed,0.34,0.111
103,Melanie Larson,foxallison@example.com,United States,California,Toddborough,108 Ashley Drive,725,33930,0.42,High,Student,0.12,0.3357
104,Michael Love,gdavis@example.com,United States,Michigan,West Melissa,2867 Angelica Spring,720,143436,0.24,Medium,Self-employed,0.42,0.1807
105,Aaron Robinson,williamsmelvin@example.org,United States,Ohio,Jenniferfurt,70462 Katie Stream,451,40378,0.78,Low,Retired,0.45,0.5994
106,Thomas Bennett,vegadorothy@example.net,United States,Florida,Brooksfurt,512 Rice Stream,779,86511,0.24,Low,Self-employed,0.01,0.25
107,Edwin Nunez,opatel@example.org,United States,New York,Port Adam,2431 Lisa Manor Apt. 331,445,290850,0.44,High,Employed,0.7,0.621
108,Andrew Gonzales,karenparsons@example.org,United States,North Carolina,New Arthurton,95995 Kevin Divide Apt. 644,636,56395,0.6,Low,Self-employed,0.51,0.0674
109,Jessica Simpson,shelly68@example.com,United States,New York,New Stacyburgh,2462 Allen Fork Suite 270,711,145750,0.49,Medium,Employed,0.24,0.2706
110,Jasmine Scott,deborah75@example.org,United States,Ohio,Faulknerside,46990 Jacob Trace,693,227995,0.49,Medium,Self-employed,0.43,0.0991
111,Elizabeth Stout,sharonhayden@example.org,United States,Ohio,South Jason,93638 Rowe Light Suite 854,764,136182,0.19,Low,Employed,0.27,0.01
112,Robert Bowen,robin55@example.com,United States,Georgia,Michaelfort,320 Tran Prairie,403,59074,0.45,Medium,Employed,0.95,0.6106
113,James Whitaker,rpierce@example.com,India,,Phillipsborough,7725 Donald Plains Suite 280,621,100076,0.5,Medium,Unemployed,0.31,0.2402
114,Jennifer Kirby,carloshernandez@example.org,United States,New York,Port Melanieton,0997 Smith Place Suite 008,416,21377,0.52,Medium,Student,0.75,0.5534
115,Robert Craig,danieldavis@example.org,United States,Illinois,Amandaport,98454 Miller Lodge,786,32079,0.23,Medium,Retired,0.05,0.01
116,Ronald Miller,davisnicholas@example.net,United States,Texas,Cunninghambury,02176 Knight Walks Apt. 803,383,36910,0.64,High,Retired,0.62,0.6239
117,Denise Glass,rachel90@example.org,United States,California,Port Heather,39261 Martin Garden Suite 856,702,359507,0.3,Medium,Self-employed,0.18,0.2083
118,Kathryn Mccann,davisjesse@example.org,United States,Florida,Port Vanessa,996 Johnson Groves Suite 735,759,31254,0.3,Medium,Self-employed,0.2,0.0286
119,Angelica Montgomery,jennifermiller@example.org,United States,New York,Reynoldsshire,265 Rodriguez Avenue Suite 754,609,30884,0.51,Medium,Employed,0.4,0.2006
120,Justin Russell,davisangela@example.net,United States,Texas,East Christopherchester,0466 Jenny Points Apt. 982,343,25974,0.45,Low,Student,0.01,0.5809
121,Johnny Brown,thill@example.com,United States,Florida,Jacksonview,4379 Stephen Dale,697,93699,0.35,High,Retired,0.46,0.2711
122,Manuel Brock,scott69@example.org,United States,Texas,Adamfurt,9375 Tamara Island Suite 793,406,67110,0.19,Medium,Self-employed,0.65,0.4945
123,Timothy Gonzalez,erinpierce@example.net,United States,New York,Nicholasfurt,374 Lori Underpass Suite 724,449,142829,0.68,Medium,Student,0.36,0.4828
124,Rachel Jones,iaguilar@example.net,Canada,,West Donna,058 Daniel Gateway Suite 290,365,102437,0.3,Medium,Employed,0.5,0.5072
125,Jessica Smith,jeffrey88@example.net,United States,Texas,Rasmussenmouth,5679 Michael Burg,705,19844,0.33,Medium,Employed,0.01,0.3324
126,Angelica Guerra,michaelcooper@example.org,United States,North Carolina,Garciachester,7177 Jones Cape Apt. 051,438,31387,0.38,Low,Unemployed,0.2,0.2591
127,Christopher Castro,zhall@example.net,United States,California,Lake John,66093 Vargas Loaf,697,178485,0.06,High,Employed,0.26,0.3245
128,Rhonda Brown,lloydamanda@example.com,United States,Texas,Lake Jasonview,71478 Harper Ridge Suite 915,763,50886,0.05,Low,Self-employed,0.2,0.0999
129,Michele Evans,powerslawrence@example.org,United States,Florida,Meganburgh,25286 Carlson Ports Suite 627,702,154828,0.41,Medium,Employed,0.21,0.01
130,Cody Wilkinson,glennstephanie@example.com,United States,Pennsylvania,New Garrett,68876 Perry Ville,459,53117,0.2,Medium,Self-employed,0.55,0.4744
131,Rebecca Walker,hillamanda@example.org,United States,Texas,Burnsland,788 Ashley Grove Suite 807,601,27608,0.24,Medium,Self-employed,0.76,0.221
132,Nicole Evans,colemichael@example.org,United States,Florida,South Curtis,33959 Martin Dam Apt. 309,633,46975,0.54,High,Self-employed,0.39,0.1518
133,William Carter,stephanie81@example.org,United States,Illinois,Amandaside,42232 Poole Trace Suite 729,776,27599,0.31,Medium,Employed,0.04,0.01
134,Mark Beard,powellkara@example.net,United States,Florida,Courtneyfurt,7590 Jessica Mount Suite 186,767,38084,0.2,Medium,Employed,0.1,0.0822
135,Frank Campbell MD,ashleewashington@example.com,United States,California,South Mallory,17012 Bryant Meadow,761,70315,0.29,Medium,Self-employed,0.26,0.0276
136,Elizabeth Baxter,clarence54@example.org,United States,Ohio,Lake Regina,206 Barber Throughway Apt. 611,776,90154,0.05,High,Student,0.3,0.0366
137,Kelly Wallace,dominguezlisa@example.com,United States,Texas,East Thomasberg,1361 Dakota Land,780,16778,0.16,Medium,Employed,0.33,0.3069
138,Megan Jones,bishopfrank@example.com,Mexico,,Derrickberg,269 Heath Corners,712,59047,0.5,Medium,Employed,0.05,0.01
139,Heather Jordan,johnnewman@example.org,United States,Texas,East Karenshire,043 Julie Hill Apt. 376,681,37447,0.27,High,Employed,0.3,0.2243
140,Vanessa Hatfield,david96@example.com,United States,North Carolina,East Victorland,1091 Jose Canyon,778,35641,0.16,Low,Student,0.2,0.0123
141,Kathryn Perry,imiller@example.net,United States,Pennsylvania,Port Raymondport,1418 Terri Drives,827,66579,0.11,Low,Self-employed,0.01,0.01
142,Jeffrey Ashley,brianmiller@example.com,United States,California,Peterland,9904 David Station,699,38547,0.39,High,Unemployed,0.42,0.4379
143,Gregory Holmes PhD,gary24@example.net,United States,Illinois,Lake Alexander,56481 Joseph Ports,629,180901,0.37,High,Employed,0.35,0.2413
144,Scott Jackson,jonathangarcia@example.net,United States,Ohio,South Spencerstad,80003 Thomas Lights,631,154886,0.62,Medium,Employed,0.49,0.1134
145,Kristen Sloan,pwalker@example.com,United Kingdom,,East Sarah,1951 Harry Unions Apt. 617,772,154116,0.16,Medium,Retired,0.05,0.1264
146,Juan Smith,kellymueller@example.net,United States,Ohio,Kiaraport,5973 Edward Lodge,816,40298,0.05,Medium,Employed,0.14,0.067
147,April Sandoval,dalton83@example.com,United States,Illinois,East Ambertown,24103 Haynes Landing Suite 191,640,27722,0.81,Low,Employed,0.77,0.3006
148,Keith Graham,joelgreen@example.com,United States,California,Lake Lori,557 Hall Flats Apt. 912,618,63935,0.14,Medium,Employed,0.7,0.1699
149,Joshua Oconnell,shannonford@example.org,United States,Florida,East Shannonmouth,49035 Christopher Gateway,632,53088,0.42,Medium,Employed,0.37,0.1817
150,Debbie Ewing,cranemelissa@example.net,United States,Texas,Randyton,71210 Maria Forges,755,36788,0.12,Low,Employed,0.2,0.1196
151,Mark Newman,samantha10@example.org,United States,New York,East Madison,721 Martinez Mountain,767,23374,0.05,Medium,Employed,0.01,0.0929
152,Jennifer Johnson,nthompson@example.org,United States,California,East Sandrachester,7209 Deborah Parks Suite 870,720,57918,0.57,Medium,Employed,0.16,0.0176
153,Stephen Fox,mayokimberly@example.com,United States,Ohio,West Patrickchester,759 Price Falls Apt. 593,770,43336,0.41,Medium,Employed,0.12,0.0613
154,Kaitlyn Howard,terrigarcia@example.net,United States,Michigan,Port Kimberlyton,8039 Kelly Villages,617,103847,0.47,Medium,Retired,0.38,0.1925
155,Oscar Howard,warnermichael@example.net,United States,Ohio,East Joel,378 Thompson Camp,497,101934,0.37,High,Employed,0.25,0.4504
156,John Rivera,lindsaypeterson@example.org,India,,North Jessebury,02921 Yu Landing Suite 915,755,144442,0.34,Medium,Employed,0.25,0.01
157,Jessica Fowler,lbanks@example.net,United States,Ohio,Marcusburgh,92644 Gregory Alley Suite 902,717,21863,0.56,Medium,Employed,0.01,0.0641
158,Ashley Crawford,julie35@example.com,United States,Illinois,Samanthabury,157 Joseph Gateway,627,82524,0.45,Medium,Employed,0.68,0.1421
159,Amber Kim,acosta@example.com,China,,West Jonathanville,8617 Francisco Cliffs Apt. 405,627,33457,0.71,Low,Self-employed,0.32,0.3171
160,Stephen Martin,paynerachael@example.org,United States,California,Stephanieland,970 Dunlap Expressway Suite 201,638,22554,0.42,Medium,Retired,0.34,0.0131
161,Julian Frost,donna43@example.org,United States,North Carolina,Jamieborough,9872 Michael Meadow,814,42494,0.46,Medium,Retired,0.25,0.01
162,Alexander Jackson,tiffany71@example.com,United States,Ohio,West Madisonfort,7418 Lopez Light Suite 270,829,140781,0.05,Medium,Employed,0.18,0.0263
163,Derrick Brown,millermaurice@example.net,United States,Ohio,Scottview,380 Cardenas Manor Suite 937,718,44451,0.44,High,Employed,0.54,0.0955
164,Stephanie Mcbride,davidtodd@example.org,United States,California,Christianton,32061 Harris View,758,209475,0.18,Medium,Employed,0.27,0.01
165,Nicholas Aguirre,hughesray@example.com,China,,Port Brooke,709 Rodriguez Drive Apt. 999,625,92883,0.74,Low,Unemployed,0.88,0.0932
166,Sharon Beard,pbaker@example.com,United States,North Carolina,North Annaville,24629 Williams Isle Apt. 074,635,43683,0.59,Medium,Self-employed,0.55,0.3185
167,Ryan Garrison,comptonjeremy@example.com,United States,Georgia,Andrewport,4691 Scott View Suite 785,778,151454,0.38,Medium,Employed,0.17,0.1342
168,Jonathon Taylor,thompsonnancy@example.org,United States,California,New Laceyland,07053 Richardson Mountain,763,85503,0.05,Medium,Employed,0.14,0.0131
169,Dana Burns,ethompson@example.net,United States,California,Reidville,2414 Paul Estates Apt. 333,765,28394,0.05,High,Employed,0.08,0.1338
170,Richard Saunders,wellsdavid@example.org,United States,Florida,Denisehaven,49446 York Mount,798,264882,0.18,Medium,Employed,0.26,0.01
171,Samantha Sanders,smithyvonne@example.com,United States,Pennsylvania,Jefferyport,1715 Davidson Wall Suite 443,688,73687,0.35,Low,Retired,0.35,0.1259
172,Renee Lang,rguerrero@example.org,United States,California,New Kathy,744 Sullivan Street,379,60781,0.73,Low,Employed,0.12,0.3919
173,Grace Reeves,qknox@example.com,Japan,,New Jeanshire,82417 Joyce Stream Apt. 513,453,30199,0.79,Medium,Self-employed,0.36,0.5207
174,Stephen Watson,steven17@example.org,United States,Michigan,Jeffreyport,3816 Gutierrez Ways,477,153834,0.43,Low,Employed,0.95,0.5457
175,William Orozco,tthomas@example.org,United States,Florida,East Victoria,5250 Shannon Fords,700,90564,0.34,Medium,Employed,0.22,0.2233
176,Phillip Miller DDS,epowell@example.com,United States,California,New Kathy,83505 Andrew Avenue,774,99051,0.09,Medium,Employed,0.12,0.1769
177,Carl Reyes,gary04@example.com,United States,North Carolina,East Heather,898 Hamilton Spur Apt. 575,713,39893,0.2,Medium,Self-employed,0.35,0.1341
178,Jennifer Perez,jasonjohnson@example.net,United States,California,East Stacy,50648 Brittney Causeway,619,116690,0.09,Medium,Employed,0.33,0.3072
179,Jennifer James,thomas23@example.net,Canada,,Lake Maryton,6184 Robert Cove,765,124175,0.4,Medium,Employed,0.27,0.136
180,Mr. Richard Decker DVM,jade42@example.org,United States,Ohio,West Danielville,75300 Rebecca Village Suite 218,830,35065,0.18,Low,Retired,0.23,0.0229
181,Joyce Madden,steven12@example.org,United States,Georgia,Lake Jenniferview,5611 Alec Dam Apt. 557,613,19271,0.28,Medium,Employed,0.59,0.3913
182,Grant Wilson,rrivers@example.com,United States,New York,Natalieland,2120 Dale Ramp Suite 972,685,95329,0.35,Medium,Employed,0.39,0.2
183,Sheryl Acosta,timothyfreeman@example.com,United States,California,Maxwelltown,14508 Tiffany Skyway Suite 889,720,17006,0.34,Medium,Employed,0.26,0.175
184,Mr. Martin Hernandez,smithsarah@example.net,United States,Pennsylvania,South Dorothybury,2175 Mark Harbors Apt. 838,479,67616,0.55,Low,Self-employed,0.24,0.5481
185,Jeremy Berry,gatessergio@example.org,United States,New York,Powellbury,016 Johnson Plaza Apt. 199,723,41864,0.13,Medium,Employed,0.45,0.0865
186,Michael Clements,marcia37@example.com,United States,California,Pamelaside,571 Katherine Forges Apt. 554,438,158725,0.66,Medium,Self-employed,0.42,0.3535
187,Katherine Underwood,nrodriguez@example.org,United States,North Carolina,Jacquelineton,63735 Katherine Cape,698,43727,0.23,Low,Employed,0.27,0.1991
188,Tina Taylor,vsmith@example.org,United States,California,Port Patriciamouth,782 Jessica Crossroad Apt. 699,731,145192,0.14,High,Employed,0.32,0.1099
189,Lee Schwartz,joshuastuart@example.com,United States,Ohio,Williamfurt,26984 Joseph Plaza Apt. 339,764,39681,0.23,Medium,Self-employed,0.17,0.2434
